[398135000] ID:140 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000ff0b01de02d7fd51fd49fd59
[398145000] ID:141 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fe8301a602affd21fd19fd29
[398155000] ID:142 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fdca012d025efce9fce9fcf9
[398165000] ID:143 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd4900c5021efcd9fce9fcf1
[398175000] ID:144 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd51008d01fefcf9fd09fd11
[398185000] ID:145 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fd69006c01fefd01fd11fd19
[398195000] ID:146 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcf9002401d6fce1fcf1fcf9
[398205000] ID:147 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc89ffc401aefcb1fcd1fcd9
[398215000] ID:148 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68ff7b019efc81fca1fca9
[398225000] ID:149 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68ff5b0196fc78fc99fca1
[398235000] ID:150 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58ff430186fc78fc99fca1
[398245000] ID:151 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50ff2b0175fc81fca1fca9
[398255000] ID:152 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc91ff030115fc89fcb1fca9
[398265000] ID:153 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68fdeaff8cfca9fcb9fcb9
[398275000] ID:154 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc20fcd1fe02fcb9fcc9fcc9
[398285000] ID:155 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc30fc99fd82fca9fcb9fcc1
[398295000] ID:156 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc40fca9fd61fca9fcb9fcc1
[398305000] ID:157 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fca1fd61fca1fcb1fcb9
[398315000] ID:158 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fca1fd61fc91fca1fca9
[398325000] ID:159 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc48fcb1fd79fc81fc99fca1
[398335000] ID:160 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc68fcf1fdd2fc81fc99fca1
[398345000] ID:161 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc50fcc1fdbafc81fc91fc99
[398355000] ID:162 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc78fd31fe52fc78fc91fc99
[398365000] ID:163 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fda2fed3fc78fc99fca1
[398375000] ID:164 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcd1fe22ff7bfc89fca9fcb1
[398385000] ID:165 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fcf9fe42ff94fc99fcb9fcc1
[398395000] ID:166 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc78fd61fea3fca9fcc9fcd1
[398405000] ID:167 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc60fd31fe52fca9fcc9fcd1
[398415000] ID:168 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc48fd19fe32fcc9fcf1fcf9
[398425000] ID:169 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc81fd51fe6afcf1fd09fd21
[398435000] ID:170 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc58fcc1fd8afce1fcf9fd19
[398445000] ID:171 | Stage:1 | Loc:0 | Lic:0 | Data:0000000000000000000000000000000000000000fc70fca1fd69fcb9fcd1fce9
